,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,interest,change,most_active,event,created_at
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,,"Jim Cramer: $GOLD

$gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $gpro $c $amzn $wfc $bac $nclh… https://t.co/83jLGx80PW",False,2020-10-12 14:33:50.502890
1,1.0,1.0,1.0,1.0,1.0,1.0,,6,,"RT @pbcinc: That loud noise? Global Retail sales sucked into #ECommerce platforms, at a terrifying velocity. Look closely, 'cause chances a…",False,2020-10-12 14:39:57.627747
2,2.0,2.0,2.0,2.0,2.0,,,5,,RT @jaywhitcraft: Work from home beneficiaries showing RS – $AAPL $ADBE $AMZN $API $ASAN $AVLR $BAND $BIGC $BL $BOX $CRM $CRWD $DDOG $DOCU…,False,2020-10-12 14:47:42.702780
3,3.0,3.0,3.0,3.0,,,,11,,"RT @Sarge986: Where Does This Broad Rally Go? Q3 Earnings Begin, Amazon's Prime Day, Apple 5G $XLRE $RGENN $GILD $LLY  $AMZN $WMTT $TTGTT $…",False,2020-10-12 14:58:39.340170
4,4.0,4.0,4.0,,,,,15,,"Amazon #PrimeDay  Headphones &amp; AirPods Deals. $AMZN 

https://t.co/h7yAR3vbls",False,2020-10-12 16:49:39.342214
5,5.0,5.0,5.0,,,,,32,,RT @Rebecca741776: Why would 3 Amazon semis be in the parking lot of the Lenexa JCPenney facility? Has PRIME DAY come early $JCPNQ fam? We…,False,2020-10-12 16:52:34.753061
6,6.0,6.0,6.0,,,,,47,,RT @Rebecca741776: Why would 3 Amazon semis be in the parking lot of the Lenexa JCPenney facility? Has PRIME DAY come early $JCPNQ fam? We…,False,2020-10-12 16:55:31.658022
7,7.0,7.0,7.0,,,,,47,,RT @Rebecca741776: Why would 3 Amazon semis be in the parking lot of the Lenexa JCPenney facility? Has PRIME DAY come early $JCPNQ fam? We…,False,2020-10-12 16:58:00.406125
8,8.0,8.0,,,,,,15,,RT @WhenIramble: Will $dds buy $jcpnq or is it $amzn or is it $spg or will the judge say get da fuc outta here and throw it out? Any of the…,False,2020-10-12 17:46:09.126749
9,9.0,,,,,,,24,,RT @FusionptCapital: $AMZN https://t.co/PQgbJuGhPX,False,2020-10-12 17:59:46.639826
10,,,,,,,,16,,"RT @TDAmeritrade: Business for #comms giants has been relatively solid as consumers switched almost all their daily tasks—work, shopping, s…",False,2020-10-12 18:43:46.405615
